EMPRESA,DATA,TICKER,VARIACAO
itau-unibanco-itub4,2025-01-21,ITUB4.SA,1.428569
itau-unibanco-itub4,2025-01-21,ITUB4.SA,0.214329
itau-unibanco-itub4,2025-01-21,ITUB4.SA,0
itau-unibanco-itub4,2025-01-20,ITUB4.SA,1.428569
itau-unibanco-itub4,2025-01-20,ITUB4.SA,0.214329
itau-unibanco-itub4,2025-01-14,ITUB4.SA,0.750903
itau-unibanco-itub4,2025-01-14,ITUB4.SA,0
itau-unibanco-itub4,2025-01-14,ITUB4.SA,3.368627
itau-unibanco-itub4,2025-01-13,ITUB4.SA,0.750903
itau-unibanco-itub4,2025-01-13,ITUB4.SA,0
itau-unibanco-itub4,2025-01-10,ITUB4.SA,0
itau-unibanco-itub4,2025-01-10,ITUB4.SA,0.193484
itau-unibanco-itub4,2025-01-10,ITUB4.SA,0
itau-unibanco-itub4,2024-12-09,ITUB4.SA,0.33588
itau-unibanco-itub4,2024-12-09,ITUB4.SA,0.763592
itau-unibanco-itub4,2024-12-09,ITUB4.SA,0.33588
itau-unibanco-itub4,2024-12-09,ITUB4.SA,0.763592
itau-unibanco-itub4,2024-12-09,ITUB4.SA,0.33588
itau-unibanco-itub4,2024-12-09,ITUB4.SA,0.763592
itau-unibanco-itub4,2024-12-09,ITUB4.SA,0.33588
itau-unibanco-itub4,2024-12-09,ITUB4.SA,0.763592
itau-unibanco-itub4,2024-12-08,ITUB4.SA,0
itau-unibanco-itub4,2024-12-08,ITUB4.SA,0.33588
banco-do-brasil-bbas3,2025-01-21,BBAS3.SA,0.315582
banco-do-brasil-bbas3,2025-01-21,BBAS3.SA,0.825144
banco-do-brasil-bbas3,2025-01-21,BBAS3.SA,2.150114
banco-do-brasil-bbas3,2025-01-13,BBAS3.SA,0.0
banco-do-brasil-bbas3,2025-01-13,BBAS3.SA,1.649483
banco-do-brasil-bbas3,2024-12-27,BBAS3.SA,1.043841
banco-do-brasil-bbas3,2024-12-27,BBAS3.SA,0
banco-do-brasil-bbas3,2024-12-26,BBAS3.SA,1.043841
banco-do-brasil-bbas3,2024-12-26,BBAS3.SA,0
banco-do-brasil-bbas3,2024-12-23,BBAS3.SA,0
banco-do-brasil-bbas3,2024-12-22,BBAS3.SA,0.668896
banco-do-brasil-bbas3,2024-12-22,BBAS3.SA,0
banco-do-brasil-bbas3,2024-12-11,BBAS3.SA,0
banco-do-brasil-bbas3,2024-12-11,BBAS3.SA,0.201773
banco-do-brasil-bbas3,2024-12-11,BBAS3.SA,1.847394
banco-do-brasil-bbas3,2024-12-11,BBAS3.SA,0
banco-do-brasil-bbas3,2024-12-06,BBAS3.SA,1.124953
banco-do-brasil-bbas3,2024-12-06,BBAS3.SA,0.354471
banco-do-brasil-bbas3,2024-12-06,BBAS3.SA,0
banco-do-brasil-bbas3,2024-12-04,BBAS3.SA,0
banco-do-brasil-bbas3,2024-12-04,BBAS3.SA,0.647518
banco-do-brasil-bbas3,2024-12-04,BBAS3.SA,1.124953
banco-do-brasil-bbas3,2024-12-04,BBAS3.SA,0.354471
banco-do-brasil-bbas3,2024-12-02,BBAS3.SA,0
banco-do-brasil-bbas3,2024-12-02,BBAS3.SA,0.647518
bradesco-bbdc4,2025-01-21,BBDC4.SA,0.779897
bradesco-bbdc4,2025-01-21,BBDC4.SA,0
bradesco-bbdc4,2025-01-21,BBDC4.SA,0
bradesco-bbdc4,2025-01-17,BBDC4.SA,2.60191
bradesco-bbdc4,2025-01-17,BBDC4.SA,0
bradesco-bbdc4,2025-01-17,BBDC4.SA,0
bradesco-bbdc4,2025-01-14,BBDC4.SA,0.990105
bradesco-bbdc4,2025-01-14,BBDC4.SA,1.780951
bradesco-bbdc4,2025-01-14,BBDC4.SA,2.60191
bradesco-bbdc4,2025-01-13,BBDC4.SA,0.990105
bradesco-bbdc4,2025-01-13,BBDC4.SA,1.780951
bradesco-bbdc4,2025-01-13,BBDC4.SA,0.990105
bradesco-bbdc4,2025-01-13,BBDC4.SA,1.780951
bradesco-bbdc4,2025-01-10,BBDC4.SA,0
bradesco-bbdc4,2025-01-10,BBDC4.SA,0
bradesco-bbdc4,2025-01-10,BBDC4.SA,0
bradesco-bbdc4,2025-01-10,BBDC4.SA,0
bradesco-bbdc4,2025-01-10,BBDC4.SA,0
bradesco-bbdc4,2025-01-10,BBDC4.SA,0
bradesco-bbdc4,2025-01-07,BBDC4.SA,0.705467
bradesco-bbdc4,2025-01-07,BBDC4.SA,0.433653
bradesco-bbdc4,2025-01-07,BBDC4.SA,0
bradesco-bbdc4,2024-12-20,BBDC4.SA,0
bradesco-bbdc4,2024-12-20,BBDC4.SA,0
